provincia;municipio;agregado;zona;poligono;parcela;recinto;dn_surface;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
35;22;0;0;1;600;5;242,8435919;62,4752121;76,17495728;93,39208984;108,2567291;130,0087891;130,603714;155,8645782;153,3626709;110,317215;93,56490326;65,46598053;50,13886642
35;22;0;0;6;766;2;2318,771433;;;;;;;;;;;;
35;22;0;0;1;386;23;834,8680944;61,65262458;75,53878474;92,33216826;107,2612305;129,1321482;129,6238191;155,4104691;152,706325;109,4592901;92,80079653;64,64801002;49,5156469
35;22;0;0;1;386;24;732,5341687;61,5987095;75,49909436;92,27316353;107,2055436;129,0905664;129,5721586;155,4152179;152,6997844;109,4183707;92,75825806;64,60139368;49,47715731
35;22;0;0;1;386;25;179,7486998;61,50055525;75,42594415;92,16146341;107,1002126;129,0076048;129,472033;155,4077748;152,6716111;109,3365082;92,67748367;64,51345777;49,40615254
35;22;0;0;1;386;26;165,7013222;61,55254686;75,46753512;92,23354983;107,1681583;129,0720985;129,5424105;155,4561681;152,7329653;109,3997751;92,72974371;64,5681677;49,44597991
35;22;0;0;1;386;22;97,62321091;61,4235293;75,37000765;92,08034918;107,0237535;128,9528514;129,4022549;155,4241965;152,6728366;109,282218;92,61884969;64,44845937;49,35148219
35;22;0;0;4;443;15;354,6234783;50,89738527;67,95981321;81,53217996;97,49840972;122,4329025;121,9928507;157,5055628;152,3359995;103,1710365;84,69558322;55,73292962;41,96879113
35;22;0;0;4;443;6;970,8457279;50,90236278;67,9586977;81,52510535;97,48928636;122,4069176;121,9714892;157,4520896;152,2871723;103,1402241;84,68209936;55,73277888;41,97052045
35;22;0;0;4;443;5;565,0615636;50,89706612;67,95450211;81,519207;97,48411179;122,4019737;121,9667397;157,4494858;152,2835312;103,1351814;84,67681885;55,7280674;41,96669006
35;22;0;0;4;443;10;318,9904018;50,94863374;67,99723262;81,58174746;97,5401633;122,4620995;122,023096;157,4975747;152,3404897;103,1978468;84,7351564;55,77585489;42,00461376
35;22;0;0;4;443;8;287,1579474;50,93242582;67,98363503;81,56147517;97,52185381;122,4418842;122,0042636;157,4797142;152,3199102;103,1767704;84,71615855;55,76059118;41,99265828
35;22;0;0;4;434;8;790,0594826;51,00537866;68,04925524;81,66505971;97,61796511;122,5615893;122,1132378;157,6151272;152,4647706;103,3038357;84,81801888;55,83393079;42,04787579
35;22;0;0;1;374;6;761,9471151;61,2205594;75,19732136;91,75632651;106,7166892;128,6393627;129,0738679;155,1083636;152,2934394;108,9805772;92,38655781;64,2142594;49,19226323
35;22;0;0;1;374;3;654,5826098;61,32230538;75,2750082;91,88099657;106,8340841;128,7415356;129,1915107;155,1524162;152,3582434;109,0824724;92,47752156;64,31234475;49,26799599
35;22;0;0;1;375;7;396,4815964;60,77292926;74,85022806;91,1842861;106,1779639;128,1508874;128,5225587;154,8302118;151,9218511;108,4935244;91,96856473;63,76732913;48,85492123
35;22;0;0;1;375;14;141,0417432;60,65129047;74,75625029;91,02928548;106,0326525;128,0151291;128,3700027;154,7454327;151,8154641;108,3552394;91,85359105;63,64318989;48,76179582
35;22;0;0;1;375;4;167,6620967;60,82012026;74,88776662;91,24856411;106,2386478;128,2082742;128,5857781;154,8717501;151,9742964;108,5501772;92,0153016;63,8164732;48,89088719
35;22;0;0;1;374;5;80,97764723;61,25630882;75,22499168;91,80152199;106,7593694;128,6767904;129,1165333;155,1265464;152,3198414;109,0173334;92,41924716;64,24902614;49,21880844
35;22;0;0;1;375;8;2240,77953;60,72421438;74,81141425;91,11777619;106,1151014;128,0918016;128,4574392;154,7879383;151,867896;108,4355004;91,92038613;63,71681493;48,81793097
35;22;0;0;1;375;5;1817,186517;60,8238163;74,89038086;91,25234604;106,2421036;128,2113266;128,5894928;154,8723526;151,9749985;108,5536728;92,01830673;63,82001114;48,89374542
35;22;0;0;1;375;9;304,4218753;60,6959362;74,78977709;91,08245829;106,082118;128,0607018;128,4223608;154,7687064;151,8444411;108,4032681;91,89387537;63,68785677;48,79611679
35;22;0;0;1;548;11;5333,484507;59,19409307;73,5955073;89,01671092;104,147934;126,1226044;126,3110886;153,1483053;149,9520111;106,4253311;90,35216014;62,04666011;47,61485799
35;22;0;0;1;548;6;562,9078337;59,02603047;73,47332919;88,8291578;103,9742642;125,9853801;126,1521505;153,1314405;149,9013416;106,2889562;90,21432551;61,89322626;47,49093623
35;22;0;0;1;548;4;639,6505238;58,94723018;73,41435348;88,73366803;103,8857062;125,9082029;126,0668089;153,0946459;149,848139;106,2124099;90,14392049;61,81636156;47,43166679
35;22;0;0;1;548;5;4828,90571;58,99770164;73,45388794;88,80202866;103,9493103;125,97052;126,1333237;153,1457901;149,9095688;106,2749214;90,19475555;61,87062836;47,47100067
35;22;0;0;1;548;8;1974,440743;59,1167278;73,54470558;88,95286166;104,0894717;126,099296;126,274276;153,2261381;150,0139574;106,4039434;90,3064997;61,99158351;47,56200604
35;22;0;0;6;649;10;70,96741921;53,09215164;69,48404694;83,16551971;98,73696899;122,8931732;122,59935;155,2321014;150,5495605;103,6863403;86,16332245;57,33924866;43,51704407
35;22;0;0;6;692;5;65,64524397;52,63869858;69,17683411;82,69913483;98,31181335;122,5739441;122,2618866;155,1551971;150,3603973;103,3922577;85,80735779;56,96136856;43,20890427
35;22;0;0;1;548;10;2190,394496;59,09572029;73,50967026;88,84877014;103,9905701;125,9380264;126,1213837;152,9167328;149,7028122;106,2359123;90,22505188;61,91605186;47,53105736
35;22;0;0;2;12;7;1857,240388;62,88684615;76,90113379;95,91067689;110,5731363;133,3077062;133,4032393;162,0777861;160,2255804;113,4554729;95,33869846;67,10893237;50,88547831
35;22;0;0;3;327;30;6920,417568;59,87300587;74,27271652;90,53730583;105,5806217;128,0064754;128,1574097;156,0684738;153,0192413;108,3386593;91,50135422;63,1798563;48,25119877
35;22;0;0;3;327;15;5468,845126;59,68091393;74,14969063;90,39463615;105,4502563;127,9760685;128,0851612;156,3337402;153,2472839;108,3095474;91,39981842;63,05252838;48,12073231
35;22;0;0;3;327;27;5066,597597;59,46734238;73,9848938;90,11477661;105,190155;127,73526;127,8251038;156,1725082;153,0375214;108,0708847;91,19422913;62,83143616;47,95590401
35;22;0;0;3;327;39;271,8997777;59,3185585;73,80662326;89,65339668;104,7536224;127,1030789;127,2299266;155,0472788;151,8724289;107,4344981;90,84509898;62,50048753;47,79701139
35;22;0;0;3;327;40;339,9114838;59,44446126;73,90824157;89,83620327;104,924241;127,2780368;127,4138087;155,2141405;152,066552;107,6097252;90,98064923;62,64325323;47,89720781
35;22;0;0;3;327;38;1185,248992;59,90921893;74,2883615;90,53150184;105,5741578;127,9564985;128,1224793;155,8963833;152,8522524;108,2884269;91,49548396;63,18230402;48,27028202
35;22;0;0;3;327;37;1151,49822;59,47043051;73,95029325;89,96257725;105,0443354;127,4682878;127,5893171;155,5837097;152,4439377;107,8021239;91,07711155;62,7316975;47,93281462
35;22;0;0;3;327;36;1829,541807;59,6176178;74,09292138;90,27791489;105,3408943;127,8467086;127,957147;156,1588191;153,0563076;108,1808343;91,31307859;62,96493448;48,06645566
35;22;0;0;3;327;35;397,3678183;59,70509953;74,15442742;90,36677364;105,4228916;127,9012432;128,0251747;156,127928;153,0438747;108,2345731;91,37758959;63,03861645;48,1297881
35;22;0;0;3;327;34;372,0612948;59,46857343;73,9454083;89,94561648;105,0281628;127,4409649;127,5645889;155,5273642;152,386771;107,7745317;91,06412123;62,72014065;47,92896137
35;22;0;0;3;327;14;702,3196323;59,49983353;73,95587782;89,92894827;105,011118;127,3764041;127,5138618;155,3338905;152,1986187;107,7085198;91,04978434;62,71424404;47,94337064
35;22;0;0;3;327;11;1155,6403;59,59956811;74,09700663;90,33117066;105,392344;127,9584185;128,0508379;156,4354508;153,3327361;108,2925165;91,35448478;62,99647065;48,06478922
35;22;0;0;3;327;33;381,7527254;59,50124741;73,99885559;90,10752106;105,1819763;127,6843338;127,7877121;156,0028839;152,8734283;108,0193787;91,18727875;62,83267975;47,97377014
35;22;0;0;3;327;16;6659,979309;59,35527674;73,91404978;90,03374736;105,116862;127,7225113;127,7892685;156,3362172;153,1784414;108,0595169;91,13663991;62,75832876;47,87985102
35;22;0;0;3;327;26;72,58167421;59,09347534;73,72510529;89,74376678;104,8497696;127,5195999;127,5551834;156,3351746;153,1188354;107,8606873;90,9249649;62,52176285;47,6864357
